数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,海南,2005,385.0478571428612,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2006,366.2255357142858,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2007,347.4032142857177,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2008,328.5808928571423,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2009,309.7585714285742,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2010,306.2,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2011,516.6,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2012,60.5,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2013,164.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2014,309.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2015,41.2,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2016,509.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2017,10.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2018,32.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2019,3.6,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2020,40.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2021,31.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2022,3.5,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2023,1.0,千公顷
自然灾害,农作物受灾面积 (千公顷) ,海南,2024,356.2,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,海南,2005,539.9839115646246,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2006,514.9641411564589,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2007,489.94437074830057,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2008,464.92460034013493,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2009,439.9048299319693,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2010,437.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2011,516.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2012,197.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2013,366.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2014,621.4,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2015,144.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2016,457.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2017,88.4,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2018,60.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2019,12.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2020,26.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2021,36.8,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2022,9.8,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2023,9.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,海南,2024,609.7,万人次
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2005,-25.607278911564208,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2006,-16.6922278911552,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2007,-7.777176870746189,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2008,1.1378741496591829,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2009,10.052925170068193,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2010,131.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2011,85.8,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2012,15.5,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2013,37.5,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2014,177.4,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2015,14.2,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2016,79.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2017,4.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2018,6.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2019,1.7,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2020,2.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2021,10.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2022,2.7,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2023,0.6,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2024,651.7,亿元
