数据集名称,指标名称,地区,年份,数值,单位
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2005,40.47,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2006,43.81,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2007,50.53,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2008,53.31,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2009,57.74,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2010,61.03,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2011,63.93,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2012,66.77,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2013,68.7,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2014,65.31,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2015,66.68,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2016,67.04,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2017,67.6,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2018,67.34,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2019,65.7,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2020,75.6486598639458,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2021,77.55507568027224,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2022,79.46149149659868,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2023,81.36790731292513,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,吉林,2024,83.27432312925157,万吨
