数据集名称,指标名称,地区,年份,数值,单位
农村基层组织情况,乡数 (个) ,吉林,2005,195.0,个
农村基层组织情况,乡数 (个) ,吉林,2006,197.0,个
农村基层组织情况,乡数 (个) ,吉林,2007,198.0,个
农村基层组织情况,乡数 (个) ,吉林,2008,198.0,个
农村基层组织情况,乡数 (个) ,吉林,2009,196.0,个
农村基层组织情况,乡数 (个) ,吉林,2010,194.0,个
农村基层组织情况,乡数 (个) ,吉林,2011,190.0,个
农村基层组织情况,乡数 (个) ,吉林,2012,189.0,个
农村基层组织情况,乡数 (个) ,吉林,2013,184.0,个
农村基层组织情况,乡数 (个) ,吉林,2014,184.0,个
农村基层组织情况,乡数 (个) ,吉林,2015,182.0,个
农村基层组织情况,乡数 (个) ,吉林,2016,182.0,个
农村基层组织情况,乡数 (个) ,吉林,2017,182.0,个
农村基层组织情况,乡数 (个) ,吉林,2018,182.0,个
农村基层组织情况,乡数 (个) ,吉林,2019,177.41124260355036,个
农村基层组织情况,乡数 (个) ,吉林,2020,175.79940828402368,个
农村基层组织情况,乡数 (个) ,吉林,2021,174.187573964497,个
农村基层组织情况,乡数 (个) ,吉林,2022,172.57573964497033,个
农村基层组织情况,乡数 (个) ,吉林,2023,170.96390532544365,个
农村基层组织情况,乡数 (个) ,吉林,2024,169.35207100591697,个
农村基层组织情况,乡镇数 (个) ,吉林,2005,624.0,个
农村基层组织情况,乡镇数 (个) ,吉林,2006,626.0,个
农村基层组织情况,乡镇数 (个) ,吉林,2007,622.0,个
农村基层组织情况,乡镇数 (个) ,吉林,2008,621.0,个
农村基层组织情况,乡镇数 (个) ,吉林,2009,621.0,个
农村基层组织情况,乡镇数 (个) ,吉林,2010,620.0,个
农村基层组织情况,乡镇数 (个) ,吉林,2011,618.0,个
农村基层组织情况,乡镇数 (个) ,吉林,2012,618.0,个
农村基层组织情况,乡镇数 (个) ,吉林,2013,618.0,个
农村基层组织情况,乡镇数 (个) ,吉林,2014,618.0,个
农村基层组织情况,乡镇数 (个) ,吉林,2015,611.0,个
农村基层组织情况,乡镇数 (个) ,吉林,2016,610.0,个
农村基层组织情况,乡镇数 (个) ,吉林,2017,608.0,个
农村基层组织情况,乡镇数 (个) ,吉林,2018,608.0,个
农村基层组织情况,乡镇数 (个) ,吉林,2019,606.6174978867293,个
农村基层组织情况,乡镇数 (个) ,吉林,2020,605.185545224007,个
农村基层组织情况,乡镇数 (个) ,吉林,2021,603.7535925612851,个
农村基层组织情况,乡镇数 (个) ,吉林,2022,602.3216398985633,个
农村基层组织情况,乡镇数 (个) ,吉林,2023,600.8896872358414,个
农村基层组织情况,乡镇数 (个) ,吉林,2024,599.4577345731195,个
农村基层组织情况,村民委员会数 (个) ,吉林,2005,9375.0,个
农村基层组织情况,村民委员会数 (个) ,吉林,2006,9335.0,个
农村基层组织情况,村民委员会数 (个) ,吉林,2007,9317.0,个
农村基层组织情况,村民委员会数 (个) ,吉林,2008,9127.0,个
农村基层组织情况,村民委员会数 (个) ,吉林,2009,9121.0,个
农村基层组织情况,村民委员会数 (个) ,吉林,2010,8989.0,个
农村基层组织情况,村民委员会数 (个) ,吉林,2011,9172.0,个
农村基层组织情况,村民委员会数 (个) ,吉林,2012,9109.0,个
农村基层组织情况,村民委员会数 (个) ,吉林,2013,9760.0,个
农村基层组织情况,村民委员会数 (个) ,吉林,2014,9313.0,个
农村基层组织情况,村民委员会数 (个) ,吉林,2015,9327.0,个
农村基层组织情况,村民委员会数 (个) ,吉林,2016,9327.0,个
农村基层组织情况,村民委员会数 (个) ,吉林,2017,9327.0,个
农村基层组织情况,村民委员会数 (个) ,吉林,2018,9325.0,个
农村基层组织情况,村民委员会数 (个) ,吉林,2019,9350.617075232458,个
农村基层组织情况,村民委员会数 (个) ,吉林,2020,9359.994590025359,个
农村基层组织情况,村民委员会数 (个) ,吉林,2021,9369.372104818256,个
农村基层组织情况,村民委员会数 (个) ,吉林,2022,9378.749619611157,个
农村基层组织情况,村民委员会数 (个) ,吉林,2023,9388.127134404054,个
农村基层组织情况,村民委员会数 (个) ,吉林,2024,9397.504649196955,个
农村基层组织情况,镇数 (个) ,吉林,2005,429.0,个
农村基层组织情况,镇数 (个) ,吉林,2006,429.0,个
农村基层组织情况,镇数 (个) ,吉林,2007,424.0,个
农村基层组织情况,镇数 (个) ,吉林,2008,423.0,个
农村基层组织情况,镇数 (个) ,吉林,2009,425.0,个
农村基层组织情况,镇数 (个) ,吉林,2010,426.0,个
农村基层组织情况,镇数 (个) ,吉林,2011,428.0,个
农村基层组织情况,镇数 (个) ,吉林,2012,429.0,个
农村基层组织情况,镇数 (个) ,吉林,2013,434.0,个
农村基层组织情况,镇数 (个) ,吉林,2014,434.0,个
农村基层组织情况,镇数 (个) ,吉林,2015,429.0,个
农村基层组织情况,镇数 (个) ,吉林,2016,428.0,个
农村基层组织情况,镇数 (个) ,吉林,2017,426.0,个
农村基层组织情况,镇数 (个) ,吉林,2018,426.0,个
农村基层组织情况,镇数 (个) ,吉林,2019,429.20625528317834,个
农村基层组织情况,镇数 (个) ,吉林,2020,429.38613693998303,个
农村基层组织情况,镇数 (个) ,吉林,2021,429.5660185967878,个
农村基层组织情况,镇数 (个) ,吉林,2022,429.74590025359254,个
农村基层组织情况,镇数 (个) ,吉林,2023,429.92578191039723,个
农村基层组织情况,镇数 (个) ,吉林,2024,430.105663567202,个
