数据集名称,指标名称,地区,年份,数值,单位
水利设施和除涝面积,水库数 (座) ,北京,2024,80.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,北京,2024,52.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,北京,2024,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,北京,2024,1016.45,千公顷
水利设施和除涝面积,水库数 (座) ,北京,2023,80.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,北京,2023,52.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,北京,2023,12.0,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,北京,2023,1003.78,千公顷
水利设施和除涝面积,水库数 (座) ,北京,2022,81.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,北京,2022,52.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,北京,2022,12.0,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,北京,2022,990.99,千公顷
水利设施和除涝面积,水库数 (座) ,北京,2021,83.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,北京,2021,52.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,北京,2021,12.0,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,北京,2021,977.98,千公顷
水利设施和除涝面积,水库数 (座) ,北京,2020,85.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,北京,2020,52.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,北京,2020,12.0,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,北京,2020,928.69,千公顷
水利设施和除涝面积,水库数 (座) ,北京,2019,86.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,北京,2019,52.15,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,北京,2019,12.0,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,北京,2019,901.57,千公顷
水利设施和除涝面积,水库数 (座) ,北京,2018,87.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,北京,2018,52.19,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,北京,2018,12.0,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,北京,2018,813.73,千公顷
水利设施和除涝面积,水库数 (座) ,北京,2017,87.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,北京,2017,52.19,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,北京,2017,12.0,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,北京,2017,777.63,千公顷
水利设施和除涝面积,水库数 (座) ,北京,2016,87.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,北京,2016,52.18,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,北京,2016,1.2,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,北京,2016,742.73,千公顷
水利设施和除涝面积,水库数 (座) ,北京,2015,87.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,北京,2015,52.18,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,北京,2015,1.2,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,北京,2015,710.8,千公顷
水利设施和除涝面积,水库数 (座) ,北京,2014,86.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,北京,2014,52.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,北京,2014,149.77,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,北京,2014,670.8,千公顷
水利设施和除涝面积,水库数 (座) ,北京,2013,86.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,北京,2013,52.17,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,北京,2013,149.77,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,北京,2013,630.8,千公顷
水利设施和除涝面积,水库数 (座) ,北京,2012,82.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,北京,2012,94.97,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,北京,2012,149.77,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,北京,2012,602.8,千公顷
水利设施和除涝面积,水库数 (座) ,北京,2011,82.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,北京,2011,93.87,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,北京,2011,149.77,千公顷
