数据集名称,指标名称,地区,年份,数值,单位
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,辽宁,2024,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,辽宁,2024,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,辽宁,2024,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,辽宁,2024,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,辽宁,2024,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,辽宁,2024,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,辽宁,2023,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,辽宁,2023,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,辽宁,2023,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,辽宁,2023,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,辽宁,2023,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,辽宁,2023,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,辽宁,2022,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,辽宁,2022,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,辽宁,2022,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,辽宁,2022,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,辽宁,2022,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,辽宁,2022,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,辽宁,2021,253.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,辽宁,2021,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,辽宁,2021,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,辽宁,2021,12055.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,辽宁,2021,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,辽宁,2021,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,辽宁,2020,49.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,辽宁,2020,471090.0,千瓦
