数据集名称,指标名称,地区,年份,数值,单位
农村基层组织情况,乡数 (个) ,云南,2005,837.0,个
农村基层组织情况,乡数 (个) ,云南,2006,780.0,个
农村基层组织情况,乡数 (个) ,云南,2007,722.0,个
农村基层组织情况,乡数 (个) ,云南,2008,725.0,个
农村基层组织情况,乡数 (个) ,云南,2009,689.0,个
农村基层组织情况,乡数 (个) ,云南,2010,689.0,个
农村基层组织情况,乡数 (个) ,云南,2011,667.0,个
农村基层组织情况,乡数 (个) ,云南,2012,584.0,个
农村基层组织情况,乡数 (个) ,云南,2013,574.0,个
农村基层组织情况,乡数 (个) ,云南,2014,561.0,个
农村基层组织情况,乡数 (个) ,云南,2015,545.0,个
农村基层组织情况,乡数 (个) ,云南,2016,545.0,个
农村基层组织情况,乡数 (个) ,云南,2017,543.0,个
农村基层组织情况,乡数 (个) ,云南,2018,543.0,个
农村基层组织情况,乡数 (个) ,云南,2019,459.41504649196577,个
农村基层组织情况,乡数 (个) ,云南,2020,434.91800507184234,个
农村基层组织情况,乡数 (个) ,云南,2021,410.4209636517262,个
农村基层组织情况,乡数 (个) ,云南,2022,385.92392223161005,个
农村基层组织情况,乡数 (个) ,云南,2023,361.4268808114939,个
农村基层组织情况,乡数 (个) ,云南,2024,336.9298393913705,个
农村基层组织情况,乡镇数 (个) ,云南,2005,1296.0,个
农村基层组织情况,乡镇数 (个) ,云南,2006,1249.0,个
农村基层组织情况,乡镇数 (个) ,云南,2007,1201.0,个
农村基层组织情况,乡镇数 (个) ,云南,2008,1305.0,个
农村基层组织情况,乡镇数 (个) ,云南,2009,1286.0,个
农村基层组织情况,乡镇数 (个) ,云南,2010,1286.0,个
农村基层组织情况,乡镇数 (个) ,云南,2011,1244.0,个
农村基层组织情况,乡镇数 (个) ,云南,2012,1243.0,个
农村基层组织情况,乡镇数 (个) ,云南,2013,1226.0,个
农村基层组织情况,乡镇数 (个) ,云南,2014,1226.0,个
农村基层组织情况,乡镇数 (个) ,云南,2015,1226.0,个
农村基层组织情况,乡镇数 (个) ,云南,2016,1226.0,个
农村基层组织情况,乡镇数 (个) ,云南,2017,1225.0,个
农村基层组织情况,乡镇数 (个) ,云南,2018,1225.0,个
农村基层组织情况,乡镇数 (个) ,云南,2019,1211.9966187658483,个
农村基层组织情况,乡镇数 (个) ,云南,2020,1207.272358410819,个
农村基层组织情况,乡镇数 (个) ,云南,2021,1202.5480980557895,个
农村基层组织情况,乡镇数 (个) ,云南,2022,1197.8238377007601,个
农村基层组织情况,乡镇数 (个) ,云南,2023,1193.0995773457307,个
农村基层组织情况,乡镇数 (个) ,云南,2024,1188.3753169906995,个
农村基层组织情况,村民委员会数 (个) ,云南,2005,12940.0,个
农村基层组织情况,村民委员会数 (个) ,云南,2006,13030.0,个
农村基层组织情况,村民委员会数 (个) ,云南,2007,13120.0,个
农村基层组织情况,村民委员会数 (个) ,云南,2008,10442.0,个
农村基层组织情况,村民委员会数 (个) ,云南,2009,12953.0,个
农村基层组织情况,村民委员会数 (个) ,云南,2010,12619.0,个
农村基层组织情况,村民委员会数 (个) ,云南,2011,12344.0,个
农村基层组织情况,村民委员会数 (个) ,云南,2012,12292.0,个
农村基层组织情况,村民委员会数 (个) ,云南,2013,12137.0,个
农村基层组织情况,村民委员会数 (个) ,云南,2014,12035.0,个
农村基层组织情况,村民委员会数 (个) ,云南,2015,12024.0,个
农村基层组织情况,村民委员会数 (个) ,云南,2016,11971.0,个
农村基层组织情况,村民委员会数 (个) ,云南,2017,11905.0,个
农村基层组织情况,村民委员会数 (个) ,云南,2018,11865.0,个
农村基层组织情况,村民委员会数 (个) ,云南,2019,11699.83220625529,个
农村基层组织情况,村民委员会数 (个) ,云南,2020,11624.790786136931,个
农村基层组织情况,村民委员会数 (个) ,云南,2021,11549.749366018601,个
农村基层组织情况,村民委员会数 (个) ,云南,2022,11474.70794590027,个
农村基层组织情况,村民委员会数 (个) ,云南,2023,11399.666525781911,个
农村基层组织情况,村民委员会数 (个) ,云南,2024,11324.625105663581,个
农村基层组织情况,镇数 (个) ,云南,2005,459.0,个
农村基层组织情况,镇数 (个) ,云南,2006,469.0,个
农村基层组织情况,镇数 (个) ,云南,2007,479.0,个
农村基层组织情况,镇数 (个) ,云南,2008,580.0,个
农村基层组织情况,镇数 (个) ,云南,2009,597.0,个
农村基层组织情况,镇数 (个) ,云南,2010,597.0,个
农村基层组织情况,镇数 (个) ,云南,2011,577.0,个
农村基层组织情况,镇数 (个) ,云南,2012,659.0,个
农村基层组织情况,镇数 (个) ,云南,2013,652.0,个
农村基层组织情况,镇数 (个) ,云南,2014,665.0,个
农村基层组织情况,镇数 (个) ,云南,2015,681.0,个
农村基层组织情况,镇数 (个) ,云南,2016,681.0,个
农村基层组织情况,镇数 (个) ,云南,2017,682.0,个
农村基层组织情况,镇数 (个) ,云南,2018,682.0,个
农村基层组织情况,镇数 (个) ,云南,2019,752.5815722738771,个
农村基层组织情况,镇数 (个) ,云南,2020,772.3543533389675,个
农村基层组织情况,镇数 (个) ,云南,2021,792.1271344040579,个
农村基层组织情况,镇数 (个) ,云南,2022,811.8999154691483,个
农村基层组织情况,镇数 (个) ,云南,2023,831.6726965342386,个
农村基层组织情况,镇数 (个) ,云南,2024,851.4454775993217,个
