数据集名称,指标名称,地区,年份,数值,单位
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,贵州,2024,,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,贵州,2024,,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,贵州,2024,,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,贵州,2024,,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,贵州,2024,,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,贵州,2024,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,贵州,2024,,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,贵州,2024,,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,贵州,2024,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,贵州,2024,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,贵州,2024,,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,贵州,2023,,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,贵州,2023,,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,贵州,2023,,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,贵州,2023,,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,贵州,2023,,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,贵州,2023,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,贵州,2023,,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,贵州,2023,,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,贵州,2023,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,贵州,2023,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,贵州,2023,,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,贵州,2022,,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,贵州,2022,,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,贵州,2022,,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,贵州,2022,,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,贵州,2022,,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,贵州,2022,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,贵州,2022,,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,贵州,2022,,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,贵州,2022,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,贵州,2022,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,贵州,2022,,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,贵州,2021,,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,贵州,2021,,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,贵州,2021,,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,贵州,2021,,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,贵州,2021,,无
